station,period_start,period_end,albedo_hls,albedo_s2,coverage_hls,coverage_s2,difference_hls_minus_s2
Bosque seco,2021-08-05,2021-08-13,0.16839051744114,0.18371744258229503,99.81994039772884,99.30332326371534,-0.015326925141155023
Bosque seco,2021-08-13,2021-08-21,0.19416254469584682,0.21505058682474132,90.76821448033257,99.30332326371534,-0.020888042128894502
Bosque seco,2021-09-22,2021-09-30,0.16698668551506127,0.18035861017499757,99.81994039772884,99.30332326371534,-0.013371924659936307
Bosque seco,2021-09-30,2021-10-08,0.17272452452718987,0.19100723808010295,99.7572814313756,99.30332326371534,-0.018282713552913082
Bosque seco,2021-10-24,2021-11-01,0.16331606519624695,0.18721013322868624,99.81994039772884,99.30332326371534,-0.023894068032439292
Bosque seco,2021-11-25,2021-12-03,0.1416264870233416,0.14642500126668231,99.81994039772884,99.30332326371534,-0.004798514243340712
Bosque seco,2021-12-03,2021-12-11,0.14066641875759414,0.14893693408766043,99.81994039772884,99.30332326371534,-0.008270515330066286
Bosque seco,2021-12-11,2021-12-19,0.13752064955449803,0.14728069583398018,99.81994039772884,99.30332326371534,-0.009760046279482154
Bosque seco,2021-12-19,2021-12-27,0.13882028822088688,0.15263131890845072,99.81994039772884,99.30332326371534,-0.013811030687563841
Bosque seco,2021-12-27,2022-01-01,0.13732159089982482,0.15140787505722636,99.81994039772884,99.30332326371534,-0.01408628415740154
Bosque seco,2022-01-01,2022-01-09,0.13512215798217136,0.14459514273009233,99.81994039772884,99.30332326371534,-0.009472984747920965
Bosque seco,2022-01-09,2022-01-17,0.1390257506071582,0.14918646079057937,99.81994039772884,99.30332326371534,-0.010160710183421184
Bosque seco,2022-01-17,2022-01-25,0.1390464596000238,0.13808299627556095,99.81994039772884,99.30332326371534,0.0009634633244628432
Bosque seco,2022-01-25,2022-02-02,0.1434411787837863,0.15376363285427727,99.81994039772884,99.30332326371534,-0.010322454070490983
Bosque seco,2022-02-02,2022-02-10,0.14277913220764854,0.15489403370135937,99.81994039772884,99.30332326371534,-0.012114901493710833
Bosque seco,2022-02-10,2022-02-18,0.1450700112547236,0.15477990021908278,99.81994039772884,99.30332326371534,-0.009709888964359176
Bosque seco,2022-02-18,2022-02-26,0.14659136470803982,0.16288115675941367,99.81994039772884,99.30332326371534,-0.016289792051373847
Bosque seco,2022-02-26,2022-03-06,0.14405905433501442,0.15678514918286804,99.81994039772884,99.30332326371534,-0.012726094847853614
Bosque seco,2022-03-06,2022-03-14,0.1464194355468425,0.1599185918143737,99.81994039772884,99.30332326371534,-0.013499156267531204
Bosque seco,2022-03-22,2022-03-30,0.17150943843370772,0.18017209047662064,99.81994039772884,99.30332326371534,-0.008662652042912916
Bosque seco,2022-03-30,2022-04-07,0.17138217412414286,0.19445226339779784,99.81994039772884,99.30332326371534,-0.023070089273654976
Bosque seco,2022-04-07,2022-04-15,0.17015277608560217,0.210905386140695,99.81994039772884,99.30332326371534,-0.04075261005509284
Bosque seco,2022-05-01,2022-05-09,0.17742476343479668,0.202238353877675,99.81994039772884,99.30332326371534,-0.024813590442878314
Bosque seco,2022-05-17,2022-05-25,0.16946851573529523,0.19282822480150025,99.81994039772884,99.30332326371534,-0.02335970906620502
Bosque seco,2022-05-25,2022-06-02,0.1735083801793005,0.18614591300026487,99.81994039772884,99.30332326371534,-0.012637532820964359
Bosque seco,2022-06-02,2022-06-10,0.18160277433536734,0.20648682951448827,99.81994039772884,99.30332326371534,-0.02488405517912093
Bosque seco,2022-06-26,2022-07-04,0.1556886090924847,0.188258897542875,99.81994039772884,99.30332326371534,-0.03257028845039031
Bosque seco,2022-07-04,2022-07-12,0.1629620851731091,0.1839288508925734,99.81994039772884,99.30332326371534,-0.02096676571946432
Bosque seco,2022-07-12,2022-07-20,0.16543640095511614,0.18583993060360798,99.81994039772884,99.30332326371534,-0.020403529648491847
Bosque seco,2022-09-06,2022-09-14,0.1671399747104316,0.1842377572302044,99.81994039772884,99.30332326371534,-0.017097782519772814
Bosque seco,2022-11-17,2022-11-25,0.15043016405564397,0.16099072995842617,99.81994039772884,99.30332326371534,-0.010560565902782204
Bosque seco,2022-11-25,2022-12-03,0.1395829003225664,0.18522013443299065,83.65729752483,99.30332326371534,-0.04563723411042425
Bosque seco,2022-12-03,2022-12-11,0.13973014321458457,0.15496776693499786,99.81994039772884,99.30332326371534,-0.01523762372041329
Bosque seco,2022-12-11,2022-12-19,0.1409028465841436,0.1673942705976617,99.81994039772884,99.30332326371534,-0.026491424013518117
